run_id,harderLASSO ANN,LASSO ANN,baseline error
0,"([0, 18, 20], 0.8714953271028038)","([0, 9, 20], 0.8574766355140186)",0.7149532710280374
1,"([0, 11, 18, 20], 0.8901869158878505)","([0, 9, 20], 0.8691588785046729)",0.7453271028037384
2,"([0, 18, 20], 0.8946135831381733)","([0, 9, 15, 20], 0.8290398126463701)",0.7939110070257611
3,"([0, 18, 20], 0.8855140186915887)","([0, 9, 15, 20], 0.8504672897196262)",0.7406542056074766
4,"([0, 18], 0.8430913348946136)","([0, 9, 20], 0.8126463700234192)",0.7822014051522248
5,"([0, 18, 20], 0.8899297423887588)","([0, 20], 0.8384074941451991)",0.7564402810304449
6,"([0, 18], 0.866822429906542)","([0, 9, 15, 20], 0.8387850467289719)",0.7616822429906542
7,"([0, 18, 20], 0.8758782201405152)","([0, 9, 20], 0.8524590163934426)",0.7423887587822015
8,"([0, 11, 18, 20], 0.9112149532710281)","([0, 9, 20], 0.8691588785046729)",0.7616822429906542
9,"([0, 18, 20], 0.9065420560747663)","([0, 20], 0.866822429906542)",0.780373831775701
10,"([0, 11, 18, 20], 0.9158878504672897)","([0, 9, 15, 20], 0.8598130841121495)",0.7570093457943925
11,"([0, 18, 20], 0.8855140186915887)","([0, 20], 0.8200934579439252)",0.764018691588785
12,"([0, 18, 20], 0.883177570093458)","([0, 20], 0.8084112149532711)",0.7850467289719626
13,"([0, 18, 20], 0.8785046728971962)","([0, 15, 20], 0.8644859813084113)",0.7546728971962616
14,"([0, 18, 20], 0.9018691588785047)","([0, 9, 20], 0.8691588785046729)",0.7757009345794392
15,"([0, 11, 18, 20], 0.8738317757009346)","([0, 9, 20], 0.8808411214953271)",0.7172897196261683
16,"([0, 11, 18, 20], 0.883177570093458)","([0, 9, 15, 20], 0.8714953271028038)",0.7593457943925234
17,"([0, 18, 20], 0.8901869158878505)","([0, 9, 20], 0.8574766355140186)",0.764018691588785
18,"([0, 11, 18, 20], 0.897196261682243)","([0, 15, 20], 0.883177570093458)",0.7663551401869159
19,"([0, 18, 20], 0.8948598130841121)","([0, 9, 20], 0.866822429906542)",0.7593457943925234
20,"([0, 18, 20], 0.8808411214953271)","([0, 9, 20], 0.8434579439252337)",0.7570093457943925
21,"([0, 18, 20], 0.8855140186915887)","([0, 20], 0.8434579439252337)",0.7663551401869159
22,"([0, 15, 18, 20], 0.866822429906542)","([0, 20], 0.852803738317757)",0.7897196261682243
23,"([0, 18, 20], 0.897196261682243)","([0, 15, 20], 0.8411214953271028)",0.7686915887850467
24,"([0, 18, 20], 0.8901869158878505)","([0, 20], 0.8387850467289719)",0.75
25,"([0, 15, 18, 20], 0.8878504672897196)","([0, 9, 20], 0.8364485981308412)",0.7686915887850467
26,"([0, 18, 20], 0.8808411214953271)","([0, 20], 0.8574766355140186)",0.7757009345794392
27,"([0, 18, 20], 0.866822429906542)","([0, 15, 20], 0.8247663551401869)",0.7336448598130841
28,"([0, 18, 20], 0.8785046728971962)","([0, 20], 0.852803738317757)",0.7289719626168224
29,"([0, 18, 20], 0.8948598130841121)","([0, 9, 15, 20], 0.8411214953271028)",0.7476635514018691
30,"([0, 18, 20], 0.9065420560747663)","([0, 9, 20], 0.866822429906542)",0.7429906542056075
31,"([0, 11, 18, 20], 0.8901869158878505)","([0, 15, 20], 0.8761682242990654)",0.735981308411215
32,"([0, 18, 20], 0.8995327102803738)","([0, 9, 20], 0.8294392523364486)",0.7663551401869159
33,"([0, 18, 20], 0.8855140186915887)","([0, 9, 20], 0.8364485981308412)",0.7570093457943925
34,"([0, 18, 20], 0.8878504672897196)","([0, 20], 0.8247663551401869)",0.7873831775700935
35,"([0, 18, 20], 0.9018691588785047)","([0, 20], 0.8247663551401869)",0.7336448598130841
36,"([0, 15, 18, 20], 0.8901869158878505)","([0, 15, 20], 0.8130841121495327)",0.7850467289719626
37,"([0, 18, 20], 0.9018691588785047)","([0, 20], 0.852803738317757)",0.764018691588785
38,"([0, 11, 18, 20], 0.8785046728971962)","([0, 15, 20], 0.8621495327102804)",0.7570093457943925
39,"([0, 18, 20], 0.8875878220140515)","([0, 15, 20], 0.8665105386416861)",0.7166276346604216
40,"([0, 18, 20], 0.866822429906542)","([0, 9, 20], 0.8130841121495327)",0.764018691588785
41,"([0, 11, 18, 20], 0.8761682242990654)","([0, 15, 20], 0.8761682242990654)",0.7546728971962616
42,"([0, 18, 20], 0.8641686182669789)","([0, 20], 0.8477751756440282)",0.7377049180327869
43,"([0, 11, 18, 20], 0.8481308411214953)","([0, 9, 15, 20], 0.8247663551401869)",0.7429906542056075
44,"([0, 18, 20], 0.883177570093458)","([0, 9, 20], 0.8271028037383178)",0.7476635514018691
45,"([0, 18, 20], 0.8621495327102804)","([0, 15, 20], 0.8294392523364486)",0.7219626168224299
46,"([0, 11, 18, 20], 0.883177570093458)","([0, 15, 20], 0.8387850467289719)",0.7476635514018691
47,"([0, 18, 20], 0.8714953271028038)","([0, 20], 0.8037383177570093)",0.7266355140186916
48,"([0, 11, 18, 20], 0.9018691588785047)","([0, 9, 20], 0.8785046728971962)",0.7570093457943925
49,"([0, 11, 18, 20], 0.8852459016393442)","([0, 9, 20], 0.8337236533957846)",0.747072599531616
